,Index,Make,Model,Variant,Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Wheelbase,Wheels_Size,12v_Power_Outlet,Audiosystem,Boot-lid_Opener,Boot_Space,Central_Locking,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Multifunction_Display,Sun_Visor,Ventilation_System,Engine_Immobilizer,ABS_(Anti-lock_Braking_System),Adjustable_Headrests,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Number_of_Airbags,Adjustable_Steering_Column,Type,Child_Safety_Locks
556,556,Ford,Ecosport,1.5L Tdci Trend,921000,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,52.0,Diesel,1647 mm,3998 mm,1765 mm,SUV,5.0,23.0,5,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,195/65R15,195/65R15,Electric Power,All Windows,100PS@3750RPM,205Nm@1750-3250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2519 mm,195/65R15,Yes,CD/MP3/DVD Player with USB & Aux-in,"Internal, With Remote",352.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,"Rake, Reach",4,0
557,557,Ford,Ecosport,1.5L Tdci Titanium,999900,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,52.0,Diesel,1647 mm,3998 mm,1765 mm,SUV,5.0,23.0,5,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,205/60R16,205/60R16,Electric Power,All Windows,100PS@3750RPM,205Nm@1750-3250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2579 mm,205/60R16,Yes,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",352.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,"Rake, Reach",4,0
558,558,Ford,Ecosport,1.5L Tdci Titanium Plus,1090000,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,52.0,Diesel,1647 mm,3998 mm,1765 mm,SUV,5.0,23.0,5,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,205/50R17,205/50R17,Electric Power,All Windows,100PS@3750RPM,205Nm@1750-3250rpm,Digital,Analog,Analog,Yes,5.0,Leather,2519 mm,205/50R17,2,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",352.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,6.0,"Rake, Reach",4,0
559,559,Ford,Ecosport,1.5L Ti-Vct Titanium Plus,999900,1497 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,52.0,Petrol,1647 mm,3998 mm,1765 mm,SUV,5.0,23.0,5,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,205/50R17,205/50R17,Electric Power,All Windows,123PS@6500rpm,150Nm@4500rpm,Digital,Analog,Analog,Yes,5.0,Leather,2519 mm,205/50R17,2,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",352.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,6.0,"Rake, Reach",4,0
560,560,Ford,Ecosport,1.5L Tdci Titanium S,1145000,1498 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,52.0,Diesel,1647 mm,3998 mm,1765 mm,SUV,5.0,23.0,5,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,205/60R16,205/60R16,Electric Power,All Windows,100PS@3750RPM,205Nm@1750-3250rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2519 mm,205/60R16,Yes,CD/MP3/DVD Player with USB & Aux-in,Internal,352.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Curtain airbags",Yes,Yes,Yes,6.0,"Reach, Rake",4,0
561,561,Ford,Ecosport,1.5L Ti-Vct Thunder Edition,999900,1497 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,52.0,Petrol,1647 mm,3998 mm,1765 mm,SUV,5.0,23.0,5,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,205/50R17,205/50R17,Electric Power,All Windows,123PS@6500rpm,150Nm@4500rpm,Digital,Analog,Analog,Yes,5.0,Leather,2519 mm,205/50R17,2,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",352.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,6.0,"Rake, Reach",4,0
562,562,Ford,Ecosport,1.5L Tdci Thunder Edition,1090000,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,52.0,Diesel,1647 mm,3998 mm,1765 mm,SUV,5.0,23.0,5,Ventilated Disc,Drum,Independent McPherson,Semi-independent twist beam with twin gas and oil filled shock absorbers,205/50R17,205/50R17,Electric Power,All Windows,100PS@3750RPM,205Nm@1750-3250rpm,Digital,Analog,Analog,Yes,5.0,Leather,2519 mm,205/50R17,2,CD/MP3/DVD Player with USB & Aux-in,"With Remote, Internal",352.0,Yes,Digital,Front & Rear,Yes,Front,Yes,Yes,Internal,Analog,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,6.0,"Rake, Reach",4,0
563,563,Renault,Duster,Rxe Petrol,799990,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Petrol,1695 mm,4315 mm,1822 mm,SUV,5.0,13.87,5,Ventilated Disc,Drum,Independent McPherson Strut With Coil Spring,Trailing arm with coil springs & double acting shock absorber,215/65R16,215/65R16,Yes,All Windows,106PS@5600rpm,142Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2673 mm,215/65R16,Yes,USB & Aux-in,"Internal, With Remote",475.0,Yes,Digital,Front,,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
564,564,Renault,Duster,Rxs Petrol,919990,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Petrol,1695 mm,4315 mm,1822 mm,SUV,5.0,13.87,5,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,Trailing arm with coil springs & double acting shock absorber,215/65R16,215/65R16,Yes,All Windows,106PS@5600rpm,142Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2673 mm,215/65R16,Yes,USB & Aux-in,"Internal, With Remote",475.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
565,565,Renault,Duster,Rxs (Opt) Cvt,999990,1498 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Petrol,1695 mm,4315 mm,1822 mm,SUV,5.0,13.87,6,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,Trailing arm with coil springs & double acting shock absorber,215/65R16,215/65R16,Electro-Hydraulic,All Windows,106PS@5600rpm,142Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2673 mm,215/65R16,Yes,USB & Aux-in,"Internal, With Remote",475.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,2,0
566,566,Renault,Duster,85 Ps Rxe Mt Diesel,929990,1461 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Diesel,1695 mm,4315 mm,1822 mm,SUV,5.0,19.6,5,Ventilated Disc,Drum,Independent McPherson Strut With Coil Spring,Trailing arm with coil springs & double acting shock absorber,215/65R16,215/65R16,Electric Power,All Windows,85PS@3750rpm,200Nm@1750rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2673 mm,215/65R16,Yes,Not on offer,"With Remote, Internal",475.0,Yes,Digital,Front,,Front,Yes,,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,,4,0
567,567,Renault,Duster,85 Ps Rxs Mt Diesel,999990,1461 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Diesel,1695 mm,4315 mm,1822 mm,SUV,5.0,19.6,5,Ventilated Disc,Drum,Independent McPherson Strut With Coil Spring,Trailing arm with coil springs & double acting shock absorber,215/65R16,215/65R16,Yes,All Windows,85PS@3750rpm,200Nm@1750rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2673 mm,215/65R16,Yes,USB & Aux-in,"With Remote, Internal",475.0,Yes,Digital,Front,,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Yes,4,0
568,568,Renault,Duster,110 Ps Rxs Mt Diesel,1119990,1461 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Diesel,1695 mm,4315 mm,1822 mm,SUV,5.0,19.6,6,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,Trailing arm with coil springs & double acting shock absorber,215/65R16,215/65R16,Yes,All Windows,110PS@4000rpm,245Nm@1750rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2673 mm,215/65R16,Yes,USB & Aux-in,"With Remote, Internal",475.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,1,0
569,569,Renault,Duster,110 Ps Rxz Mt Diesel,1209990,1461 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Diesel,1695 mm,4315 mm,1822 mm,SUV,5.0,19.6,6,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,Trailing arm with coil springs & double acting shock absorber,215/65R16,215/65R16,Yes,All Windows,110PS@4000rpm,245Nm@1750rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2673 mm,215/65R16,Yes,USB & Aux-in,"With Remote, Internal",475.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,1,0
570,570,Renault,Duster,110 Ps Rxz Amt Diesel,1249990,1461 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Diesel,1695 mm,4315 mm,1822 mm,SUV,5.0,19.6,6,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,Trailing arm with coil springs & double acting shock absorber,215/65R16,215/65R16,Yes,All Windows,110PS@4000rpm,245Nm@1750rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2673 mm,215/65R16,Yes,USB & Aux-in,"With Remote, Internal",475.0,Yes,Digital,Front,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,1,0
571,571,Renault,Duster,110 Ps Rxs Awd (Opt) Diesel,1249990,1461 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50.0,Diesel,1695 mm,4315 mm,1822 mm,SUV,5.0,19.6,6,Ventilated Disc,Drum,MacPherson Strut with anti-roll bar,Trailing arm with coil springs & double acting shock absorber,215/65R16,215/65R16,Yes,All Windows,110PS@4000rpm,245Nm@1750rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2673 mm,215/65R16,Yes,USB & Aux-in,"With Remote, Internal",475.0,Yes,Digital,,Yes,Front,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,1,0
572,572,Hyundai,Verna,1.6 Vtvt Sx,999900,1591 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1445 mm,4440 mm,1729 mm,Sedan,4.0,17.7,5,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,195/55 R16,195/55 R16,Electric Power,All Windows,123PS@6400rpm,151Nm@4850rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2600 mm,195 / 55 R16,Yes,CD Player with USB & Aux-in,Internal,465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
573,573,Hyundai,Verna,1.6 Crdi Sx,1172544,1582 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Diesel,1445 mm,4440 mm,1729 mm,Sedan,4.0,23.9,6,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,195/55 R16,195/55 R16,Electric Power,All Windows,128ps@4000rpm,260Nm@1500-3000rpm,Analog,Analog,Analog,Yes,5.0,Fabric,2600 mm,195 / 55 R16,Yes,CD Player with USB & Aux-in,Internal,465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,"Rake, Reach",4,0
574,574,Hyundai,Verna,1.6 Crdi Sx (O),1301881,1582 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Diesel,1445 mm,4440 mm,1729 mm,Sedan,4.0,23.5,4,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,195/55 R16,195/55 R16,Electric Power,All Windows,128ps@4000rpm,260Nm@1500-3000rpm,Digital,Analog,Analog,Yes,5.0,Leather,2600 mm,195 / 55 R16,Yes,CD Player with USB & Aux-in,Internal,465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,6.0,"Rake, Reach",4,0
575,575,Hyundai,Verna,1.6 Vtvt Sx (O),1172999,1591 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,45.0,Petrol,1445 mm,4440 mm,1729 mm,Sedan,4.0,17.7,5,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,195/55 R16,195/55 R16,Electric Power,All Windows,123PS@6400rpm,151Nm@4850rpm,Digital,Analog,Analog,Yes,5.0,Leather,2600 mm,195 / 55 R16,Yes,CD Player with USB & Aux-in,"With Remote, Internal",465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Curtain airbags, Driver frontal airbag",Yes,Yes,Yes,6.0,"Rake, Reach",4,0
576,576,Hyundai,Verna,1.6 Crdi Sx Plus At,1328545,1582 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Diesel,1445 mm,4440 mm,1729 mm,Sedan,4.0,17.1,4,Ventilated Disc,Drum,McPherson struts with coil spring,Couple Torsion Beam Axle,195/55R16,195/55R16,Electric Power,All Windows,128ps@4000rpm,260Nm@1500-3000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2600 mm,195/55R16,Yes,CD Player with USB & Aux-in,"With Remote, Internal",465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,"Rake, Reach",1,0
577,577,Hyundai,Verna,1.6 Vtvt Sx(O) At,1287999,1591 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,45.0,Petrol,1445 mm,4440 mm,1729 mm,Sedan,4.0,17.7,4,Ventilated Disc,Drum,McPherson struts with coil spring,Couple Torsion Beam Axle,195/55 R16,195/55 R16,Electric Power,All Windows,123PS@6400rpm,155Nm@4850rpm,Digital,Analog,Analog,Yes,5.0,Leather,2600 mm,195 / 55 R16,Yes,CD Player with USB & Aux-in,"Internal, With Remote",465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Curtain airbags",Yes,Yes,Yes,6.0,"Rake, Reach",1,0
578,578,Hyundai,Verna,1.4 Vtvt Ex,933182,1396 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1445 mm,4440 mm,1729 mm,Sedan,4.0,19.1,5,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,195/55R16,195/55R16,Electric Power,All Windows,100PS@6000rpm,133Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2600 mm,195/55R16,Yes,CD Player with USB & Aux-in,Internal,465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,"With Remote, Internal",Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
579,579,Hyundai,Verna,1.4 Vtvt E,817867,1396 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Petrol,1445 mm,4440 mm,1729 mm,Sedan,4.0,19.1,5,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,195/55R16,195/55R16,Electric Power,All Windows,100PS@6000rpm,133Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2600 mm,195/55R16,Yes,CD Player with USB & Aux-in,Internal,465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
580,580,Hyundai,Verna,1.6 Vtvt Sx (O) Anniversary Edition,1178894,1591 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,45.0,Petrol,1445 mm,4440 mm,1729 mm,Sedan,4.0,17.7,5,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,195/55 R16,195/55 R16,Electric Power,All Windows,123PS@6400rpm,151Nm@4850rpm,Digital,Analog,Analog,Yes,5.0,Leather,2600 mm,195 / 55 R16,Yes,CD Player with USB & Aux-in,"With Remote, Internal",465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Curtain airbags, Driver frontal airbag",Yes,Yes,Yes,6.0,"Rake, Reach",4,0
581,581,Hyundai,Verna,1.6 Vtvt Sx Plus At,1162875,1591 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,45.0,Petrol,1445 mm,4440 mm,1729 mm,Sedan,4.0,17.7,6,Ventilated Disc,Drum,McPherson struts with coil spring,Couple Torsion Beam Axle,195/55 R16,195/55 R16,Electric Power,All Windows,123PS@6400rpm,155Nm@4850rpm,Digital,Analog,Analog,Yes,5.0,Leather,2600 mm,195 / 55 R16,Yes,CD Player with USB & Aux-in,"Internal, With Remote",465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,All Rows,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag, Front passenger side airbag, Curtain airbags",Yes,Yes,Yes,6.0,"Rake, Reach",1,0
582,582,Hyundai,Verna,1.6 Crdi Sx(O) At,1407871,1582 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Diesel,1445 mm,4440 mm,1729 mm,Sedan,4.0,17.1,6,Ventilated Disc,Drum,McPherson struts with coil spring,Couple Torsion Beam Axle,195/55R16,195/55R16,Electric Power,All Windows,128ps@4000rpm,260Nm@1500-3000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2600 mm,195/55R16,Yes,CD Player with USB & Aux-in,"With Remote, Internal",465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,Internal,Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,"Rake, Reach",1,0
583,583,Hyundai,Verna,1.4 Crdi E,942867,1396 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Diesel,1445 mm,4440 mm,1729 mm,Sedan,4.0,,5,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,195/55R16,195/55R16,Electric Power,All Windows,100PS@6000rpm,133Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2600 mm,195/55R16,Yes,CD Player with USB & Aux-in,Internal,465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
584,584,Hyundai,Verna,1.4 Crdi Ex,999900,1396 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,45.0,Diesel,1445 mm,4440 mm,1729 mm,Sedan,4.0,,5,Ventilated Disc,Drum,MacPherson struts with coil spring,Couple Torsion Beam Axle,195/55R16,195/55R16,Electric Power,All Windows,100PS@6000rpm,133Nm@4000rpm,Digital,Analog,Analog,Yes,5.0,Fabric,2600 mm,195/55R16,Yes,CD Player with USB & Aux-in,Internal,465.0,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,Yes,"Internal, With Remote",Digital,Manual,Analog + Digital,Yes,Yes,Driver & Front Passenger,Fully automatic climate control,Yes,Yes,Front Row,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Rake,4,0
585,585,Mahindra,Xuv300,1.2 W4,830127,1197 cc,,,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,42.0,Petrol,1617 mm,3995 mm,1821 mm,SUV,5.0,17.0,6,Ventilated Disc,Ventilated Disc,MacPherson Strut with anti-roll bar,Twist beam suspension with coil spring,205/65 R16,205/65 R16,Yes,Only Front Windows,109bhp@5000RPM,200Nm@2000rpm,Yes,Yes,Yes,Yes,5.0,Fabric,2600 mm,205/65 R16,Yes,Not on offer,Manual,259.0,Yes,Digital,Yes,Yes,Yes,Yes,,Manual,Yes,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,2.0,,4,0
586,586,Mahindra,Xuv300,1.2 W6,915128,1197 cc,,,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,42.0,Petrol,1617 mm,3995 mm,1821 mm,SUV,5.0,17.0,6,Ventilated Disc,Ventilated Disc,MacPherson Strut with anti-roll bar,Twist beam suspension with coil spring,205/65 R16,205/65 R16,Yes,Only Front Windows,109bhp@5000RPM,200Nm@2000rpm,Yes,Yes,Yes,Yes,5.0,Fabric,2600 mm,205/65 R16,Yes,CD Player with USB & Aux-in,Manual,259.0,Yes,Digital,Yes,Yes,Yes,Yes,Yes,Manual,Yes,Manual,Digital,Yes,Yes,Driver & Front Passenger,Manual Air conditioning with cooling and heating,Yes,Yes,Yes,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,2.0,Yes,4,0
